Mat,Dock,Season,Percent Cover,Date,,,,,
N1,A1A,Fall,65.06,10/28/2020,,,,,
N2,A1A,Fall,79.6,10/28/2020,,,,,
N3,A1A,Fall,71.96,10/28/2020,,,,,
S1,A1A,Fall,63.27,10/28/2020,,,,,
S2,A1A,Fall,70.6,10/28/2020,,,,,
S3,A1A,Fall,72.42,10/28/2020,,,,,
N1,A1A,Spring,94.91,2/17/2021,,,,,
N2,A1A,Spring,97.84,2/17/2021,,,,,
N3,A1A,Spring,96.24,2/17/2021,,,,,
S1,A1A,Spring,97.3,2/17/2021,,,,,
S2,A1A,Spring,100,2/17/2021,,,,,
S3,A1A,Spring,92.78,2/17/2021,,,,,
N1,Aquarina,Fall,38.13,10/9/2020,,,,,
N2,Aquarina,Fall,40.12,10/9/2020,,,,,
N3,Aquarina,Fall,45.72,10/9/2020,,,,,
S1,Aquarina,Fall,64.23,10/9/2020,,,,,
S2,Aquarina,Fall,27.65,10/9/2020,,,,,
S3,Aquarina,Fall,46.59,10/9/2020,,,,,
N1,Aquarina,Spring,77.19,2/10/2021,,,,,
N2,Aquarina,Spring,48.59,2/10/2021,,,,,
N3,Aquarina,Spring,54.02,2/10/2021,,,,,
S1,Aquarina,Spring,74.76,2/10/2021,,,,,
S2,Aquarina,Spring,55.36,2/10/2021,,,,,
S3,Aquarina,Spring,63.77,2/10/2021,,,,,
N1,Beach Woods,Fall,43.85,10/30/2020,,,,,
N2,Beach Woods,Fall,77.65,10/30/2020,,,,,
N3,Beach Woods,Fall,84.42,10/30/2020,,,,,
S1,Beach Woods,Fall,40.01,10/30/2020,,,,,
S2,Beach Woods,Fall,78.24,10/30/2020,,,,,
S3,Beach Woods,Fall,81.59,10/30/2020,,,,,
N5,Beach Woods,Fall,74.02,10/30/2020,,,,,
S5,Beach Woods,Fall,80.7,10/30/2020,,,,,
N1,Beach Woods,Spring,62.22,2/20/2021,,,,,
N2,Beach Woods,Spring,98.15,2/20/2021,,,,,
N3,Beach Woods,Spring,97.64,2/20/2021,,,,,
S1,Beach Woods,Spring,73.96,2/20/2021,,,,,
S2,Beach Woods,Spring,99.34,2/20/2021,,,,,
S3,Beach Woods,Spring,96.35,2/20/2021,,,,,
N5,Beach Woods,Spring,98.69,2/20/2021,,,,,
S5,Beach Woods,Spring,98.09,2/20/2021,,,,,
N2,IAP,Fall,50.86,10/2/2020,,,,,
N3,IAP,Fall,55.47,10/2/2020,,,,,
S1,IAP,Fall,42.4,10/2/2020,,,,,
S5,IAP,Fall,62.75,10/2/2020,,,,,
N4,IAP,Fall,70.74,10/2/2020,,,,,
S6,IAP,Fall,61.2,10/2/2020,,,,,
N2,IAP,Spring,58.8,1/27/2021,,,,,
N3,IAP,Spring,84.87,1/27/2021,,,,,
S1,IAP,Spring,98.51,1/27/2021,,,,,
S5,IAP,Spring,81.36,1/27/2021,,,,,
N4,IAP,Spring,90.16,1/27/2021,,,,,
S6,IAP,Spring,83.18,1/27/2021,,,,,
N1,Lighthouse Cove,Fall,67.89,10/21/2020,,,,,
S2,Lighthouse Cove,Fall,57.67,10/21/2020,,,,,
N3,Lighthouse Cove,Fall,72.67,10/21/2020,,,,,
S4,Lighthouse Cove,Fall,69.02,10/21/2020,,,,,
S5,Lighthouse Cove,Fall,47.32,10/21/2020,,,,,
6N,Lighthouse Cove,Fall,43.71,10/21/2020,,,,,
N1,Lighthouse Cove,Spring,89.96,2/12/2021,,,,,
S2,Lighthouse Cove,Spring,83.12,2/12/2021,,,,,
N3,Lighthouse Cove,Spring,93.89,2/12/2021,,,,,
S4,Lighthouse Cove,Spring,81.84,2/12/2021,,,,,
S5,Lighthouse Cove,Spring,92.68,2/12/2021,,,,,
6N,Lighthouse Cove,Spring,92.91,2/12/2021,,,,,
N1,Melbourne Shores,Fall,63.32,10/9/2020,,,,,
S1,Melbourne Shores,Fall,70.15,10/9/2020,,,,,
N2,Melbourne Shores,Fall,78.33,10/9/2020,,,,,
S2,Melbourne Shores,Fall,66.35,10/9/2020,,,,,
N3,Melbourne Shores,Fall,57.68,10/9/2020,,,,,
S4,Melbourne Shores,Fall,65.62,10/9/2020,,,,,
N1,Melbourne Shores,Spring,82.28,2/5/2021,,,,,
S1,Melbourne Shores,Spring,85.23,2/5/2021,,,,,
N2,Melbourne Shores,Spring,95.09,2/5/2021,,,,,
S2,Melbourne Shores,Spring,96.37,2/5/2021,,,,,
N3,Melbourne Shores,Spring,83.54,2/5/2021,,,,,
S4,Melbourne Shores,Spring,94.15,2/5/2021,,,,,
S1,Sebastian,Fall,62.49,10/10/2020,,,,,
S2,Sebastian,Fall,93.34,10/10/2020,,,,,
S3,Sebastian,Fall,91.17,10/10/2020,,,,,
N4,Sebastian,Fall,70.92,10/10/2020,,,,,
S1,Sebastian,Spring,94.3,2/6/2021,,,,,
S2,Sebastian,Spring,90.82,2/6/2021,,,,,
S3,Sebastian,Spring,91.76,2/6/2021,,,,,
N4,Sebastian,Spring,90.38,2/6/2021,,,,,
S1,Wingate,Fall,64.14,10/14/2020,,,,,
N2,Wingate,Fall,64.04,10/14/2020,,,,,
S3,Wingate,Fall,84.67,10/14/2020,,,,,
N4,Wingate,Fall,57.32,10/14/2020,,,,,
S5,Wingate,Fall,82.6,10/14/2020,,,,,
N6,Wingate,Fall,63.36,10/14/2020,,,,,
S1,Wingate,Spring,87.5,1/29/2021,,,,,
N2,Wingate,Spring,86.32,1/29/2021,,,,,
S3,Wingate,Spring,79.07,1/29/2021,,,,,
N4,Wingate,Spring,77.83,1/29/2021,,,,,
S5,Wingate,Spring,85.85,1/29/2021,,,,,
N6,Wingate,Spring,82.57,1/29/2021,,,,,
S1,Melbourne Beach Pier,Fall,58.75,10/24/2020,,,,,
S2,Melbourne Beach Pier,Fall,65.09,10/24/2020,,,,,
S3,Melbourne Beach Pier,Fall,78.55,10/24/2020,,,,,
S4,Melbourne Beach Pier,Fall,63.67,10/24/2020,,,,,
S5,Melbourne Beach Pier,Fall,85.33,10/24/2020,,,,,
N6,Melbourne Beach Pier,Fall,62.28,10/24/2020,,,,,
N7,Melbourne Beach Pier,Fall,71.91,10/24/2020,,,,,
N8,Melbourne Beach Pier,Fall,66.92,10/24/2020,,,,,
N9,Melbourne Beach Pier,Fall,66.04,10/24/2020,,,,,
N10,Melbourne Beach Pier,Fall,43.21,10/24/2020,,,,,
N11,Melbourne Beach Pier,Fall,89.23,10/24/2020,,,,,
S1,Melbourne Beach Pier,Spring,93.06,2/27/2021,,,,,
S2,Melbourne Beach Pier,Spring,,2/27/2021,,,,,
S3,Melbourne Beach Pier,Spring,83.77,2/27/2021,,,,,
S4,Melbourne Beach Pier,Spring,,2/27/2021,,,,,
S5,Melbourne Beach Pier,Spring,81.57,2/27/2021,,,,,
N6,Melbourne Beach Pier,Spring,75.49,2/27/2021,,,,,
N7,Melbourne Beach Pier,Spring,82.91,2/27/2021,,,,,
N8,Melbourne Beach Pier,Spring,80.73,2/27/2021,,,,,
N9,Melbourne Beach Pier,Spring,87.5,2/27/2021,,,,,
N10,Melbourne Beach Pier,Spring,,2/27/2021,,,,,
N11,Melbourne Beach Pier,Spring,,2/27/2021,,,,,
N1,A1A,Summer,81.85,6/1/2021,,,,,
N2,A1A,Summer,81.74,6/1/2021,,,,,
N3,A1A,Summer,86.63,6/1/2021,,,,,
S1,A1A,Summer,88.53,6/1/2021,,,,,
S2,A1A,Summer,93,6/1/2021,,,,,
S3,A1A,Summer,83.83,6/1/2021,,,,,
N2,IAP,Summer,78.53,6/3/2021,,,,,
N3,IAP,Summer,73.99,6/3/2021,,,,,
S1,IAP,Summer,56.45,6/3/2021,,,,,
S5,IAP,Summer,73.49,6/3/2021,,,,,
N4,IAP,Summer,70.1,6/3/2021,,,,,
S6,IAP,Summer,69.35,6/3/2021,,,,,
N1,Lighthouse Cove,Summer,90.4,6/8/2021,,,,,
S2,Lighthouse Cove,Summer,88.61,6/8/2021,,,,,
N3,Lighthouse Cove,Summer,89.83,6/8/2021,,,,,
S4,Lighthouse Cove,Summer,83.78,6/8/2021,,,,,
S5,Lighthouse Cove,Summer,90.4,6/8/2021,,,,,
N6,Lighthouse Cove,Summer,96.15,6/8/2021,,,,,
S1,Sebastian,Summer,90.09,6/10/2021,,,,,
S2,Sebastian,Summer,90.47,6/10/2021,,,,,
S3,Sebastian,Summer,91.88,6/10/2021,,,,,
N4,Sebastian,Summer,82.42,6/10/2021,,,,,
