Location,Mat,Barnacles,Enc. Bryo.,Oysters,Season,Date
IAP,1-South,80,10,0,fall,10/2/2020
IAP,1-South,40,5,0,fall,10/2/2020
IAP,1-South,30,0,0,fall,10/2/2020
IAP,1-South,10,0,0,fall,10/2/2020
IAP,1-South,75,5,0,fall,10/2/2020
IAP,1-South,95,0,0,fall,10/2/2020
IAP,2-North,60,15,0,fall,10/2/2020
IAP,2-North,60,15,0,fall,10/2/2020
IAP,2-North,60,25,0,fall,10/2/2020
IAP,2-North,65,10,0,fall,10/2/2020
IAP,2-North,25,15,0,fall,10/2/2020
IAP,2-North,50,15,0,fall,10/2/2020
IAP,3-North,80,20,0,fall,10/2/2020
IAP,3-North,60,39,0,fall,10/2/2020
IAP,3-North,70,20,0,fall,10/2/2020
IAP,3-North,95,0,0,fall,10/2/2020
IAP,3-North,80,14,0,fall,10/2/2020
IAP,3-North,65,35,0,fall,10/2/2020
IAP,5-South,85,10,0,fall,10/2/2020
IAP,5-South,60,0,0,fall,10/2/2020
IAP,5-South,80,10,0,fall,10/2/2020
IAP,5-South,50,42,0,fall,10/2/2020
IAP,5-South,75,20,0,fall,10/2/2020
IAP,5-South,30,40,0,fall,10/2/2020
IAP,4-North,10,20,0,fall,10/2/2020
IAP,4-North,70,15,0,fall,10/2/2020
IAP,4-North,90,10,0,fall,10/2/2020
IAP,4-North,70,25,0,fall,10/2/2020
IAP,4-North,75,10,0,fall,10/2/2020
IAP,4-North,60,20,0,fall,10/2/2020
IAP,6-South,90,4,0,fall,10/2/2020
IAP,6-South,70,10,0,fall,10/2/2020
IAP,6-South,75,10,0,fall,10/2/2020
IAP,6-South,65,0,0,fall,10/2/2020
IAP,6-South,75,21,0,fall,10/2/2020
IAP,6-South,10,20,0,fall,10/2/2020
IAP,1-South,50,30,0,spring,1/27/2021
IAP,1-South,50,25,0,spring,1/27/2021
IAP,1-South,5,80,0,spring,1/27/2021
IAP,1-South,30,58,0,spring,1/27/2021
IAP,1-South,10,40,0,spring,1/27/2021
IAP,1-South,30,44,0,spring,1/27/2021
IAP,2-North,30,40,0,spring,1/27/2021
IAP,2-North,10,70,0,spring,1/27/2021
IAP,2-North,25,60,0,spring,1/27/2021
IAP,2-North,5,78,0,spring,1/27/2021
IAP,2-North,15,68,0,spring,1/27/2021
IAP,2-North,20,70,0,spring,1/27/2021
IAP,3-North,55,34,0,spring,1/27/2021
IAP,3-North,60,35,0,spring,1/27/2021
IAP,3-North,50,30,0,spring,1/27/2021
IAP,3-North,70,25,0,spring,1/27/2021
IAP,3-North,65,25,0,spring,1/27/2021
IAP,3-North,55,29,0,spring,1/27/2021
IAP,4-North,15,70,0,spring,1/27/2021
IAP,4-North,20,70,0,spring,1/27/2021
IAP,4-North,5,90,0,spring,1/27/2021
IAP,4-North,25,60,0,spring,1/27/2021
IAP,4-North,10,75,0,spring,1/27/2021
IAP,4-North,15,75,0,spring,1/27/2021
IAP,5-South ,50,35,0,spring,1/27/2021
IAP,5-South ,40,48,0,spring,1/27/2021
IAP,5-South ,55,20,0,spring,1/27/2021
IAP,5-South ,60,17,0,spring,1/27/2021
IAP,5-South ,55,30,0,spring,1/27/2021
IAP,5-South ,50,45,0,spring,1/27/2021
IAP,6-South,60,28,0,spring,1/27/2021
IAP,6-South,60,30,0,spring,1/27/2021
IAP,6-South,45,40,0,spring,1/27/2021
IAP,6-South,55,34,0,spring,1/27/2021
IAP,6-South,20,65,0,spring,1/27/2021
IAP,6-South,15,65,0,spring,1/27/2021
IAP,1-South,30,30,0,summer,6/3/2021
IAP,1-South,15,60,0,summer,6/3/2021
IAP,1-South,10,70,0,summer,6/3/2021
IAP,1-South,20,50,0,summer,6/3/2021
IAP,1-South,10,60,0,summer,6/3/2021
IAP,2-North,50,20,0,summer,6/3/2021
IAP,2-North,20,5,0,summer,6/3/2021
IAP,2-North,50,20,0,summer,6/3/2021
IAP,2-North,40,10,0,summer,6/3/2021
IAP,2-North,10,0,0,summer,6/3/2021
IAP,2-North,25,10,0,summer,6/3/2021
IAP,3-North,50,5,0,summer,6/3/2021
IAP,3-North,40,10,0,summer,6/3/2021
IAP,3-North,5,65,0,summer,6/3/2021
IAP,3-North,60,10,0,summer,6/3/2021
IAP,3-North,60,5,0,summer,6/3/2021
IAP,4-North,15,30,0,summer,6/3/2021
IAP,4-North,40,10,0,summer,6/3/2021
IAP,4-North,10,0,0,summer,6/3/2021
IAP,4-North,10,20,0,summer,6/3/2021
IAP,4-North,15,10,0,summer,6/3/2021
IAP,4-North,40,5,0,summer,6/3/2021
IAP,5-South,20,5,0,summer,6/3/2021
IAP,5-South,20,30,5,summer,6/3/2021
IAP,5-South,20,5,20,summer,6/3/2021
IAP,5-South,30,15,0,summer,6/3/2021
IAP,5-South,20,20,0,summer,6/3/2021
IAP,5-South,20,40,0,summer,6/3/2021
IAP,6-South,20,5,0,summer,6/3/2021
IAP,6-South,30,10,0,summer,6/3/2021
IAP,6-South,20,5,0,summer,6/3/2021
IAP,6-South,25,55,0,summer,6/3/2021
IAP,6-South,45,25,0,summer,6/3/2021
IAP,6-South,20,20,0,summer,6/8/2021